,Attrition,Business Travel,CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Distance From Home,Education,Environment Satisfaction,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
0,Yes,Travel_Rarely,35 - 44,Sales,Life Sciences,1,Female,Sales Executive,Single,Yes,0,41,1,Associates Degree,2,3,2,4,5993,8,11,3,1,0,8,1,6,4,0,5
1,No,Travel_Frequently,45 - 54,R&D,Life Sciences,2,Male,Research Scientist,Married,No,3,49,8,High School,3,2,2,2,5130,1,23,4,4,1,10,3,10,7,1,7
2,Yes,Travel_Rarely,35 - 44,R&D,Other,4,Male,Laboratory Technician,Single,Yes,3,37,2,Associates Degree,4,2,1,3,2090,6,15,3,2,0,7,3,0,0,0,0
3,No,Travel_Frequently,25 - 34,R&D,Life Sciences,5,Female,Research Scientist,Married,Yes,3,33,3,Master's Degree,4,3,1,3,2909,1,11,3,3,0,8,3,8,7,3,0
4,No,Travel_Rarely,25 - 34,R&D,Medical,7,Male,Laboratory Technician,Married,No,3,27,2,High School,1,3,1,2,3468,9,12,3,4,1,6,3,2,2,2,2
5,No,Travel_Frequently,25 - 34,R&D,Life Sciences,8,Male,Laboratory Technician,Single,No,2,32,2,Associates Degree,4,3,1,4,3068,0,13,3,3,0,8,2,7,7,3,6
6,No,Travel_Rarely,Over 55,R&D,Medical,10,Female,Laboratory Technician,Married,Yes,3,59,3,Bachelor's Degree,3,4,1,1,2670,4,20,4,1,3,12,2,1,0,0,0
7,No,Travel_Rarely,25 - 34,R&D,Life Sciences,11,Male,Laboratory Technician,Divorced,No,2,30,24,High School,4,3,1,3,2693,1,22,4,2,1,1,3,1,0,0,0
8,No,Travel_Frequently,35 - 44,R&D,Life Sciences,12,Male,Manufacturing Director,Single,No,2,38,23,Bachelor's Degree,4,2,3,3,9526,0,21,4,2,0,10,3,9,7,1,8
9,No,Travel_Rarely,35 - 44,R&D,Medical,13,Male,Healthcare Representative,Married,No,3,36,27,Bachelor's Degree,3,3,2,3,5237,6,13,3,2,2,17,2,7,7,7,7
10,No,Travel_Rarely,35 - 44,R&D,Medical,14,Male,Laboratory Technician,Married,No,5,35,16,Bachelor's Degree,1,4,1,2,2426,0,13,3,3,1,6,3,5,4,0,3
11,No,Travel_Rarely,25 - 34,R&D,Life Sciences,15,Female,Laboratory Technician,Single,Yes,3,29,15,Associates Degree,4,2,2,3,4193,0,12,3,4,0,10,3,9,5,0,8
12,No,Travel_Rarely,25 - 34,R&D,Life Sciences,16,Male,Research Scientist,Divorced,No,1,31,26,High School,1,3,1,3,2911,1,17,3,4,1,5,2,5,2,4,3
13,No,Travel_Rarely,25 - 34,R&D,Medical,18,Male,Laboratory Technician,Divorced,No,2,34,19,Associates Degree,2,3,1,4,2661,0,11,3,3,1,3,3,2,2,1,2
14,Yes,Travel_Rarely,25 - 34,R&D,Life Sciences,19,Male,Laboratory Technician,Single,Yes,4,28,24,Bachelor's Degree,3,2,1,3,2028,5,14,3,2,0,6,3,4,2,0,3
15,No,Travel_Rarely,25 - 34,R&D,Life Sciences,20,Female,Manufacturing Director,Divorced,No,1,29,21,Master's Degree,2,4,3,1,9980,1,11,3,3,1,10,3,10,9,8,8
16,No,Travel_Rarely,25 - 34,R&D,Life Sciences,21,Male,Research Scientist,Divorced,Yes,5,32,5,Associates Degree,1,4,1,2,3298,0,12,3,4,2,7,2,6,2,0,5
17,No,Non-Travel,Under 25,R&D,Medical,22,Male,Laboratory Technician,Divorced,Yes,2,22,16,Associates Degree,4,4,1,4,2935,1,13,3,2,2,1,2,1,0,0,0
18,No,Travel_Rarely,45 - 54,Sales,Life Sciences,23,Female,Manager,Married,No,3,53,2,Master's Degree,1,2,4,4,15427,2,16,3,3,0,31,3,25,8,3,7
19,No,Travel_Rarely,35 - 44,R&D,Life Sciences,24,Male,Research Scientist,Single,Yes,3,38,2,Bachelor's Degree,4,3,1,4,3944,5,11,3,3,0,6,3,3,2,1,2
20,No,Non-Travel,Under 25,R&D,Other,26,Female,Manufacturing Director,Divorced,No,5,24,11,Associates Degree,1,4,2,3,4011,0,18,3,4,1,5,2,4,2,1,3
21,Yes,Travel_Rarely,35 - 44,Sales,Life Sciences,27,Male,Sales Representative,Single,No,4,36,9,Master's Degree,3,2,1,1,3407,7,23,4,2,0,10,3,5,3,0,3
22,No,Travel_Rarely,25 - 34,R&D,Life Sciences,28,Female,Research Director,Single,No,4,34,7,Master's Degree,1,3,3,2,11994,0,11,3,3,0,13,3,12,6,2,11
23,No,Travel_Rarely,Under 25,R&D,Life Sciences,30,Male,Research Scientist,Single,No,6,21,15,Associates Degree,3,3,1,4,1232,1,14,3,4,0,0,3,0,0,0,0
24,Yes,Travel_Rarely,25 - 34,R&D,Medical,31,Male,Research Scientist,Single,No,2,34,6,High School,2,3,1,1,2960,2,11,3,3,0,8,3,4,2,1,3
25,No,Travel_Rarely,45 - 54,R&D,Other,32,Female,Manager,Divorced,No,3,53,5,Bachelor's Degree,3,3,5,3,19094,4,11,3,4,1,26,2,14,13,4,8
26,Yes,Travel_Frequently,25 - 34,R&D,Life Sciences,33,Female,Research Scientist,Single,Yes,5,32,16,High School,2,1,1,1,3919,1,22,4,2,0,10,3,10,2,6,7
27,No,Travel_Rarely,35 - 44,Sales,Marketing,35,Male,Sales Executive,Married,No,2,42,8,Master's Degree,3,3,2,2,6825,0,11,3,4,1,10,3,9,7,4,2
28,No,Travel_Rarely,35 - 44,R&D,Medical,36,Female,Healthcare Representative,Married,No,4,44,7,Master's Degree,1,2,3,4,10248,3,14,3,4,1,24,3,22,6,5,17
29,No,Travel_Rarely,45 - 54,Sales,Marketing,38,Female,Manager,Single,No,2,46,2,Master's Degree,2,3,5,1,18947,3,12,3,4,0,22,2,2,2,2,1
30,No,Travel_Rarely,25 - 34,R&D,Medical,39,Male,Laboratory Technician,Single,No,3,33,2,Bachelor's Degree,3,3,1,4,2496,4,11,3,4,0,7,3,1,1,0,0
